;Longitude;Latitude;Data;VentoC;Pressao;Temperatura;DirecaoVento
275;-42.75;-14.25;2017-01-12 11:00:00;2.315;884.0;24.316;245.87
276;-42.75;-14.25;2017-01-12 12:00:00;2.536;883.834;25.1;231.03
277;-42.75;-14.25;2017-01-12 13:00:00;1.615;883.0;26.15;176.98
278;-42.75;-14.25;2017-01-12 14:00:00;2.772;882.0;27.284;141.5
279;-42.75;-14.25;2017-01-12 15:00:00;3.52;881.0;27.35;121.53
280;-42.75;-14.25;2017-01-12 16:00:00;4.62;880.334;27.166;109.87
281;-42.75;-14.25;2017-01-12 17:00:00;3.582;880.5;26.633;73.12
282;-42.75;-14.25;2017-01-12 18:00:00;4.55;880.334;26.25;79.62
283;-42.75;-14.25;2017-01-12 19:00:00;3.635;881.0;26.383;59.43
284;-42.75;-14.25;2017-01-12 20:00:00;3.355;881.0;25.466;32.95
285;-42.75;-14.25;2017-01-12 21:00:00;7.428;881.5;22.133;240.38
286;-42.75;-14.25;2017-01-12 22:00:00;3.042;882.166;21.55;301.03
287;-42.75;-14.25;2017-01-12 23:00:00;2.262;882.0;22.484;246.52
288;-42.75;-14.25;2017-01-13 00:00:00;2.6;882.0;22.65;284.4
289;-42.75;-14.25;2017-01-13 01:00:00;2.95;881.0;22.0;275.97
290;-42.75;-14.25;2017-01-13 02:00:00;2.62;881.0;21.6;234.12
291;-42.75;-14.25;2017-01-13 03:00:00;3.828;881.0;20.6;170.13
292;-42.75;-14.25;2017-01-13 04:00:00;5.784;881.0;19.966;134.85
293;-42.75;-14.25;2017-01-13 05:00:00;6.32;881.0;18.916;132.15
294;-42.75;-14.25;2017-01-13 06:00:00;6.455;881.834;18.466;128.83
295;-42.75;-14.25;2017-01-13 07:00:00;6.424;882.0;18.4;133.6
296;-42.75;-14.25;2017-01-13 08:00:00;5.972;883.0;18.666;127.87
297;-42.75;-14.25;2017-01-13 09:00:00;5.425;883.0;20.0;129.65
298;-42.75;-14.25;2017-01-13 10:00:00;5.148;883.5;21.216;132.98
299;-42.75;-14.25;2017-01-13 11:00:00;4.944;883.0;22.6;137.02
300;-42.75;-14.25;2017-01-13 12:00:00;3.976;882.834;24.2;139.6
301;-42.75;-14.25;2017-01-13 13:00:00;4.245;882.0;25.15;144.62
302;-42.75;-14.25;2017-01-13 14:00:00;5.022;881.334;23.266;128.28
303;-42.75;-14.25;2017-01-13 15:00:00;5.325;880.666;21.466;149.85
304;-42.75;-14.25;2017-01-13 16:00:00;4.896;880.0;21.567;149.85
305;-42.75;-14.25;2017-01-13 17:00:00;5.66;880.0;21.684;154.02
306;-42.75;-14.25;2017-01-13 18:00:00;5.71;880.166;21.5;139.18
307;-42.75;-14.25;2017-01-13 19:00:00;6.285;881.0;21.883;127.23
308;-42.75;-14.25;2017-01-13 20:00:00;7.136;881.0;22.117;129.47
309;-42.75;-14.25;2017-01-13 21:00:00;6.953;881.166;22.15;130.18
310;-42.75;-14.25;2017-01-13 22:00:00;7.92;882.0;21.883;130.97
311;-42.75;-14.25;2017-01-13 23:00:00;8.378;882.0;21.133;120.27
312;-42.75;-14.25;2017-01-14 00:00:00;8.36;881.5;20.417;114.38
313;-42.75;-14.25;2017-01-14 01:00:00;8.853;881.0;19.7;113.53
314;-42.75;-14.25;2017-01-14 02:00:00;8.182;881.0;18.916;116.12
315;-42.75;-14.25;2017-01-14 03:00:00;7.61;880.666;18.166;117.3
316;-42.75;-14.25;2017-01-14 04:00:00;7.815;880.666;17.866;116.9
317;-42.75;-14.25;2017-01-14 05:00:00;6.96;881.0;17.716;113.0
318;-42.75;-14.25;2017-01-14 06:00:00;6.034;881.0;17.517;118.7
319;-42.75;-14.25;2017-01-14 07:00:00;4.735;881.666;17.367;127.5
320;-42.75;-14.25;2017-01-14 08:00:00;4.37;882.0;17.484;136.38
321;-42.75;-14.25;2017-01-14 09:00:00;5.24;882.0;18.5;120.1
322;-42.75;-14.25;2017-01-14 10:00:00;4.785;882.0;21.15;122.98
323;-42.75;-14.25;2017-01-14 11:00:00;4.812;882.0;22.616;118.72
324;-42.75;-14.25;2017-01-14 12:00:00;4.21;881.834;24.3;145.38
325;-42.75;-14.25;2017-01-14 13:00:00;4.315;880.666;25.184;136.33
326;-42.75;-14.25;2017-01-14 14:00:00;2.464;880.0;25.4;171.88
327;-42.75;-14.25;2017-01-14 15:00:00;4.016;879.166;24.216;321.97
328;-42.75;-14.25;2017-01-14 16:00:00;5.522;879.0;22.666;331.77
329;-42.75;-14.25;2017-01-14 17:00:00;4.882;879.0;22.8;308.53
